checkpoint,boundary_action,action_index,joint,delta_from_cached_h50_rad,abs_delta_rad
step_000050,5,2,10,-0.015359938144683838,0.015359938144683838
step_000050,5,2,11,0.0007767528295516968,0.0007767528295516968
step_000050,5,3,0,0.0958855003118515,0.0958855003118515
step_000050,5,3,1,-0.07119131088256836,0.07119131088256836
step_000050,5,3,2,-0.0031272172927856445,0.0031272172927856445
step_000050,5,3,3,0.015421271324157715,0.015421271324157715
step_000050,5,3,4,0.0031967461109161377,0.0031967461109161377
step_000050,5,3,5,-0.001661047339439392,0.001661047339439392
step_000050,5,3,6,-0.044206976890563965,0.044206976890563965
step_000050,5,3,7,-0.1674652099609375,0.1674652099609375
step_000050,5,3,8,-0.02101421356201172,0.02101421356201172
step_000050,5,3,9,0.03994619846343994,0.03994619846343994
step_000050,5,3,10,-0.002947688102722168,0.002947688102722168
step_000050,5,3,11,-0.00416959822177887,0.00416959822177887
step_000050,5,4,0,0.06343749165534973,0.06343749165534973
step_000050,5,4,1,-0.06925046443939209,0.06925046443939209
step_000050,5,4,2,0.027266740798950195,0.027266740798950195
step_000050,5,4,3,-0.005534768104553223,0.005534768104553223
step_000050,5,4,4,-0.014553964138031006,0.014553964138031006
step_000050,5,4,5,-0.0006757974624633789,0.0006757974624633789
step_000050,5,4,6,-0.03254786133766174,0.03254786133766174
step_000050,5,4,7,-0.13901519775390625,0.13901519775390625
step_000050,5,4,8,-0.02469015121459961,0.02469015121459961
step_000050,5,4,9,0.06296336650848389,0.06296336650848389
step_000050,5,4,10,0.019330888986587524,0.019330888986587524
step_000050,5,4,11,0.0034568607807159424,0.0034568607807159424
step_000050,5,5,0,0.0504075288772583,0.0504075288772583
step_000050,5,5,1,-0.0491715669631958,0.0491715669631958
step_000050,5,5,2,0.018083810806274414,0.018083810806274414
step_000050,5,5,3,0.0075005292892456055,0.0075005292892456055
step_000050,5,5,4,-0.02835175395011902,0.02835175395011902
step_000050,5,5,5,0.00031162798404693604,0.00031162798404693604
step_000050,5,5,6,-0.00922781229019165,0.00922781229019165
step_000050,5,5,7,-0.10506808757781982,0.10506808757781982
step_000050,5,5,8,-0.007659435272216797,0.007659435272216797
step_000050,5,5,9,0.05506432056427002,0.05506432056427002
step_000050,5,5,10,0.03510001301765442,0.03510001301765442
step_000050,5,5,11,-0.004644304513931274,0.004644304513931274
step_000050,5,6,0,0.061402127146720886,0.061402127146720886
step_000050,5,6,1,-0.04375100135803223,0.04375100135803223
step_000050,5,6,2,0.043294310569763184,0.043294310569763184
step_000050,5,6,3,-0.004346489906311035,0.004346489906311035
step_000050,5,6,4,0.02085009217262268,0.02085009217262268
step_000050,5,6,5,-0.0026406943798065186,0.0026406943798065186
step_000050,5,6,6,-0.0024943649768829346,0.0024943649768829346
step_000050,5,6,7,-0.05071437358856201,0.05071437358856201
step_000050,5,6,8,-0.03665661811828613,0.03665661811828613
step_000050,5,6,9,0.06440067291259766,0.06440067291259766
step_000050,5,6,10,0.038854509592056274,0.038854509592056274
step_000050,5,6,11,-0.0016318857669830322,0.0016318857669830322
step_000050,5,7,0,0.058820247650146484,0.058820247650146484
step_000050,5,7,1,-0.058922529220581055,0.058922529220581055
step_000050,5,7,2,0.041890740394592285,0.041890740394592285
step_000050,5,7,3,-0.008014440536499023,0.008014440536499023
step_000050,5,7,4,-0.03352522850036621,0.03352522850036621
step_000050,5,7,5,0.0024726837873458862,0.0024726837873458862
step_000050,5,7,6,0.0092124342918396,0.0092124342918396
step_000050,5,7,7,-0.10553956031799316,0.10553956031799316
step_000050,5,7,8,-0.05761992931365967,0.05761992931365967
step_000050,5,7,9,0.0923689603805542,0.0923689603805542
step_000050,5,7,10,0.06257373094558716,0.06257373094558716
step_000050,5,7,11,0.005517616868019104,0.005517616868019104
step_000050,5,8,0,0.009598657488822937,0.009598657488822937
step_000050,5,8,1,-0.01565992832183838,0.01565992832183838
step_000050,5,8,2,-0.02063572406768799,0.02063572406768799
step_000050,5,8,3,-0.02279043197631836,0.02279043197631836
step_000050,5,8,4,-0.1693984568119049,0.1693984568119049
step_000050,5,8,5,0.003401041030883789,0.003401041030883789
step_000050,5,8,6,0.11651793122291565,0.11651793122291565
step_000050,5,8,7,0.06581664085388184,0.06581664085388184
step_000050,5,8,8,-0.2320725917816162,0.2320725917816162
step_000050,5,8,9,0.09802162647247314,0.09802162647247314
step_000050,5,8,10,0.16785547137260437,0.16785547137260437
step_000050,5,8,11,0.003552868962287903,0.003552868962287903
step_000050,5,9,0,0.07718107104301453,0.07718107104301453
step_000050,5,9,1,0.02575099468231201,0.02575099468231201
step_000050,5,9,2,-0.03146994113922119,0.03146994113922119
step_000050,5,9,3,-0.009226202964782715,0.009226202964782715
step_000050,5,9,4,-0.14960190653800964,0.14960190653800964
step_000050,5,9,5,0.003962859511375427,0.003962859511375427
step_000050,5,9,6,0.10033667087554932,0.10033667087554932
step_000050,5,9,7,0.11747133731842041,0.11747133731842041
